game_id,white_id,white_elo,black_id,black_elo,opening,moves,winner
0AE4ZlY3,letlam,1653,matei_popescu1510,1656,B10,e4 c6 Nf3 d5 e5 c5 d4 Nc6 c3 Bg4 Bb5 e6 Bxc6+ bxc6 h3 Bxf3 Qxf3 cxd4 cxd4 c5 Be3 cxd4 Bxd4 Ne7 O-O Nf5 Qd3 Be7 Nd2 O-O Nf3 a5 b3 Qd7 Rfc1 Rfc8 Qd2 Ba3 Rxc8+ Qxc8 Rb1 Nxd4 Nxd4 Bb4 Qc1 Qc3 Qxc3 Bxc3 Nf3 h6 Rc1 Bb4 Rc2 Kf8 Kf1 Ke8 Ke2 Kd7 Nd4 Rc8 Rxc8 Kxc8 Kd3 Kc7 Nc2 Kb6 Nxb4 axb4 Kd4 Kb5 g4 g6 h4 h5 g5 Kc6 f3 Kb5 f4 Kc6 Kd3 Kc5 Kc2 Kd4 Kb2 Ke4 a4 bxa3+ Kxa3 Kd4 b4 Kc4 Ka4 d4 b5 d3 b6 d2 b7 d1=Q+ Ka5 Qd8+ Ka6 Qb8 Kb6 Kd5 Ka6 Kc6 Ka5 Qxb7,black
0cm3I44l,matei_popescu1510,1941,weza77,1844,D00,d4 d5 e3 e6 Bd3 Bd6 Nd2 Nf6 f4 O-O Ngf3 Nbd7 O-O c5 c3 c4 Bc2 b5 Ne5 a5 Rf3 Bb7 Rh3 Ne4 Qf3 Ndf6 g4 Qe7 g5 Nd7 Qh5 h6 Nxe4 dxe4 gxh6 g6 Qg4 Kh7 Bd2 Rg8 Be1 Raf8 Bh4 Qe8 Nxd7 Qxd7 Bf6 Be7 Bg7 Re8 Kf2 Bd8 Rg1 b4 Qg2 bxc3 bxc3 Qc6 Rb1 Bc7 Qg5 Rb8 Qb5 Qd6 Be5,white
0czyYfL6,saeedsohbati,1915,matei_popescu1510,1924,B13,e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 Nc6 Nf3 Bg4 Be3 e6 cxd5 Nxd5 Nxd5 Qxd5 Be2 Bb4+ Bd2 Bxf3 Bxb4 Bxe2 Qxe2 Nxb4 O-O O-O a3 Nc6 Rad1 Rad8 Rd3 e5 Rfd1 exd4 f3 Rfe8 Qd2 Qc5 Rc1 Qb6 b4 a6 Rc4 Re3 Rcxd4 Rxd3 Qxd3 Qxd4+ Qxd4 Rxd4,black
0DCiNwWT,matei_popescu1510,1947,joss_black,1946,A45,d4 Nf6 Bg5 e6 e3 h6 Bh4 g5 Bg3 b6 Nf3 Bb7 Nbd2 d5 Bd3 Nbd7 c3 Qe7 Ne5 O-O-O b4 Ne4 f3 Nxg3 hxg3 Rg8 Nxd7 Qxd7 a4 a6 Qb3 f6 Ke2 e5 Rhc1 e4 Bb1 exf3+ gxf3 f5 c4 f4 g4 Kb8 c5 fxe3 Nf1 Bg7 cxb6 cxb6 Bf5 Qd6 Nxe3 Qh2+ Kd3 Rge8 Qc3 Qf4,black
0dEc6POy,matei_popescu1510,1789,areapostrema,1772,A45,d4 Nf6 e3 g6 Bd3 Bg7 f4 d6 h3 c5 c3 cxd4 exd4 O-O Nf3 Nc6 Qe2 a6 O-O Nd5 a3 Re8 c4 Nc7 d5 Na5 Nc3 Nb3 Rb1 Nxc1 Rbxc1 e6 dxe6 Bxe6 Qd2 Qd7 b4 Bf5 Bxf5 Qxf5 Qxd6 Rac8 Qd2 Rcd8 Qc2 Qe6 Ne2 Qxe2,black
0dTDaJX5,vladlt,1910,matei_popescu1510,1924,B15,e4 c6 d4 d5 Nc3 a6 Nf3 Bg4 Be2 e6 h3 Bxf3 Bxf3 Nf6 Bg5 Be7 e5 Nfd7 Bxe7 Qxe7 Qd2 c5 O-O-O cxd4 Qxd4 Nc6 Qg4 g6 Rhe1 Ndxe5 Qf4 Nxf3 Qxf3 O-O-O Nxd5 Qg5+ Ne3 f6 Kb1 e5 Nc4 Kc7 Qb3 b5 Ne3 e4 Qf7+ Rd7 Qxd7+,white
0elcci5O,goran5rovic,1618,matei_popescu1510,1675,B13,e4 c6 d4 d5 exd5 cxd5 c4 Nc6 Nc3 dxc4 Bxc4 Qxd4 Nb5 Qxd1+ Kxd1 Kd8 Bxf7 a6 Nc3 Nf6 Bf4 e6 Nf3 Ke7 Kc1 Kxf7 Kc2 Be7 Rad1 b5 Ne5+ Nxe5 Bxe5 Bb7 f3 Rhd8 Rde1 Nd5 Ne4 Rac8+ Kb1 Nf6 Ng5+ Kg8 Nxe6 Rd7 Rhf1 Bd5 Nf4 Bf7 g4 Nd5 Ng2 Bg6+ Ka1 Bf6 f4 Bxe5 fxe5 Rdc7 e6 Be8 b3 Rc2 Nf4 Nxf4 Rxf4 Rc1+ Rxc1 Rxc1+ Kb2 Rc7 a3 Re7 Re4 Bg6 Re5 Kf8 h4 Ke8 h5 Bd3 g5 Kd8 Rd5+ Kc7 Rxd3 Rxe6 Rc3+ Kd7 Rd3+ Ke7 Kc3 Re5 Rg3 Ke6 Kd4 Rf5 Re3+ Kf7 Rg3 Ke7 Ke4 Rc5 g6 hxg6 hxg6 Rc6 Kd5 Rf6 Re3+ Kd7 Kc5 Kc7 Re7+ Kb8 Rxg7 Rf5+ Kb6 Rf6+ Ka5 Ka8 Rg8+ Kb7 g7 Kc7 Rc8+ Kxc8 g8=Q+ Kb7 Qg7+,white
0ezOq5ks,aston66,1819,matei_popescu1510,1773,B27,e4 c5 Nf3 g6 c3 d5 exd5 Qxd5 d4 Nc6 c4 Qd8 dxc5 Qxd1+ Kxd1 Bg4 Be2 e6 Be3 O-O-O+ Kc2 Bg7 Nc3 Nge7 Rad1 Nf5 Bf4 e5 Rxd8+ Rxd8 Bg3 Nxg3 hxg3 h5 Rd1 Rxd1 Bxd1 Kc7 a3 a6 b4 Bxf3 Bxf3 Nd4+ Kd3 Nxf3 gxf3 f5 Nd5+ Kd8 b5 axb5 cxb5 Bf8 Kc4 Kc8 a4 Kb8 Nb6 Kc7 Nd5+ Kb8 Nf6 Kc7 a5 Be7 Nd5+ Kd8 Nxe7,white
0FH9VaxB,ibanov64,1969,matei_popescu1510,1871,D31,d4 d5 c4 e6 Nc3 c6 cxd5 exd5 Bf4 Bd6 Bxd6 Qxd6 Rc1 Bg4 h3 Bh5 g4 Bg6 Nf3 Nd7 Bg2 Ngf6 e3 Ne4 Nxe4 Bxe4 Qb3 Rb8 O-O h5 g5 Qe7 h4 f6 gxf6 gxf6 Kh2 Qd6+ Kh1 Ke7 Nd2 Bxg2+ Kxg2 Qe6 Rh1 Rhg8+ Kf1 Qg4 Qa3+ Kf7 Rg1 Qxg1+ Ke2 Qg4+ Kd3 Qe6 Nf3 a6 Rxc6 bxc6 Qxa6 c5 dxc5 Qxa6+ Kd2 Qa5+ Kd1 Qxc5 Ne5+ Nxe5 b4 Qxb4 a4 Nf3 a5 Qd2#,black
0fks36fr,matei_popescu1510,1910,llednew19,1876,A40,d4 e6 e3 d5 Bd3 c5 c3 c4 Bc2 b5 Nd2 a5 f4 Nc6 Ngf3 b4 O-O Bd6 Ne5 Nge7 e4 O-O Rf3 f6 Nxc6 Nxc6 e5 fxe5 fxe5 Rxf3 Nxf3 Be7 Qe1 Bd7 Qg3 Be8 Bg5 Ra7 Bxe7 Rxe7 Ng5 h6 Nf3 Bh5 Nh4 Rf7 Rf1 Qf8 Rxf7 Qxf7 Ng6 Ne7 Nf4 Nf5 Bxf5 Qxf5 Nxh5 Qxh5 Qf3 Qf5 Qxf5 exf5 Kf2 Kf7 h4 g5 Kf3 g4+ Kf4 Ke6 g3,white
0gR1G27T,matei_popescu1510,1649,henn0r34,1655,D90,d4 Nf6 c4 g6 Nf3 d5 Nc3 Bg7 g3 O-O Bg2 c5 Bg5 Ne4 Nxe4 dxe4 Ne5 Bxe5 dxe5 f6 exf6 exf6 Bh6 Re8 Qxd8 Rxd8 Bxe4 f5 Bg2 Nc6 O-O Be6 b3 Rac8 Rad1 b6 Rxd8+ Nxd8 Rd1 Nf7 Bf4 g5 Bc1 Ne5 Bb2 Nc6 Rd6 Nd8 Bf6 Bxc4 Rxd8+ Rxd8 Bxd8 Bxe2 Bc7 Bd3 Bd5+ Kg7 a4 Kf6 Bb8 a6 Ba7 b5 Bxc5 bxa4 bxa4 Ke5 Bc6 g4 Bb7 Kf6 Bxa6 Bxa6 Kg2 Ke5 a5 Kd5 Bb6 Ke4 h3 gxh3+ Kxh3 Bc4 Kh4 Kf3 Kg5,white
0h835CmA,matei_popescu1510,1899,valdemar_miass,1832,E00,d4 Nf6 c4 e6 g3 b6 Bg2 d5 Nc3 Bb7 Bg5 Bb4 Qa4+ Nc6 cxd5 Bxc3+ bxc3 exd5 Bxf6 Qxf6 Bxd5 O-O Bg2 a5 Nf3 Ba6 Qc2 Rad8 O-O Nb8 Rfd1 Rfe8 e3 g5 a4 Bc4 Ne5 Bd5 c4 Bxg2 Kxg2 h5 f4 g4 d5 Rxe5 fxe5 Qf3+ Kg1 Qxe3+ Kh1 Nd7 Re1 Qf3+ Qg2 Qf5 Qe4 Qg5 Qf4 Qg6 e6 fxe6 Rxe6 Qf7 Qxf7+ Kxf7 Rf1+ Kg7 Re7+ Kg6 Rff7 Nf6 Rxc7 Rd6 Rfe7 Kh6 Rc6 Rxc6 dxc6,white
0Ib97myo,matei_popescu1510,1872,semen_k54,1892,A81,d4 f5 g3 Nf6 Bg2 Nc6 c4 e5 d5 Ne7 Nc3 Ng6 Bg5 Bc5 Nf3 e4 Nd4 d6 a3 O-O b4 Bxd4 Qxd4 Qe8 O-O Ne5 f4 Ned7 Bh3 h6 Bh4 Nh7 g4 fxg4 Bxg4 Ndf6 Bxc8 Qxc8 Kh1 Qg4 Bxf6 Rxf6 e3 Rg6 Rf2 Nf6 Nxe4 Nh5 f5 Rf8 fxg6 Rxf2 Nf6+ Nxf6,black
0Ild82oR,matei_popescu1510,1940,caino,1974,A40,d4 e5 dxe5 Qe7 Nf3 Nc6 Bg5 Qb4+ Bd2 Qxb2 Nc3 Nb4 Nd4 c5 Rb1 Qa3 Rb3 Qa5 Ndb5 a6 Nd6+ Bxd6 exd6 Nf6 e4 O-O e5 Re8 f4 Nfd5 Nxd5 Nxd5 Bxa5,white
0jeLEGs4,bearours,1833,matei_popescu1510,1858,C00,e4 e6 Nf3 d5 exd5 exd5 d4 Bd6 Nc3 Ne7 Bd3 Bg4 O-O Nbc6 Be2 Qd7 h3 Bh5 Be3 O-O-O Nb5 a6 Nxd6+ Qxd6 b3 Nf5 Bc1 Bxf3 Bxf3 f6 Bg4 Ne7 Qf3 g6 Bf4 Qe6 Rfe1 Qd7 c4 h5 Bxf5 Nxf5 cxd5 Qxd5 Rac1 Qxf3,white
0jeQUEBJ,matei_popescu1510,1782,ferguson,1811,A40,d4 e6 e3 d5 Bd3 Nf6 Nd2 c5 c3 Nc6 f4 cxd4 exd4 Be7 Ngf3 O-O O-O b6 Qe2 Bb7 Ne5 Rc8 Rf3 Na5 Rh3 h6 g4 Nc4 g5 hxg5 fxg5 Ne4 Qh5,white
0jFKY0Np,matei_popescu1510,1772,alex880627,1780,B24,e4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 d3 e6 f4 Nge7 e5 O-O Nf3 b6 O-O Bb7 Ne4 d5 exd6 Nc8 c3 Nxd6 Nxd6 Qxd6 Be3 Rad8 Qc2 Qxd3 Qxd3 Rxd3 Bf2 Na5 Ne5 Bxg2 Nxd3 Bxf1 Kxf1 Nc4 Rd1 Rd8 Ke2 e5 b3 Na5 b4 Nc6 bxc5 e4 Nb4 Rxd1 Kxd1 Nxb4 cxb4 bxc5 b5 Bd4 Bxd4 cxd4 a4 Kf8 a5 Ke8 b6 axb6 a6 Kd8 a7,white
0jrrFQED,matei_popescu1510,1848,kutikopo,1841,D00,d4 d5 e3 Nf6 Bd3 Bg4 f3 Bd7 Nd2 c5 c3 Nc6 f4 cxd4 exd4 Qc7 Ndf3 Bg4 h3 Bxf3 Nxf3 e6 O-O Bd6 Ne5 O-O Be3 Ne7 Bf2 Ng6 Qf3 Bxe5 dxe5 Nd7 g4 a6 a4 Nc5 Bc2 b5 axb5 axb5 Bd4 Rxa1 Rxa1 Rb8 f5 Nxe5 Qe3 Ncd7 Re1 Nc4 Qg5 f6 Qh5 Qg3+ Kf1 e5 Bf2 Qf3 g5 Nd2+,black
0KKm4QVz,ism_chihabo_96,1859,matei_popescu1510,1892,B10,e4 c6 g3 d5 e5 h5 d4 Bg4 Be2 Bxe2 Qxe2 e6 h4 c5 c3 cxd4 cxd4 Nc6 Nf3 Qb6 O-O Nge7 Rd1 Nf5 Qd3 Rc8 a3 Na5 b4 Nc4 Nbd2 Qc6 Nb3 b6 Ra2 Be7 Bg5 Qb7 Qe2 a6 Bxe7 Kxe7 a4 Rhd8 Kg2 g6 Rb1 Rg8 a5 b5 Nc5 Qa7 Rg1 Kf8 Rc2 Kg7 Ng5 Rc7 Kh3 Rf8 Rd1 Ne7 g4 hxg4+ Qxg4 Rh8 Qf3 Nf5 Kg2 Nxh4+ Kg3 Nxf3 Nxf3 Rxc5 dxc5 Qc7 Re1 Qc6 Rcc1 Kf8 Re2 Ke7 Rg1 Qe8 Kg2 Qg8 Kf1 Qh7 Ng5 Qh5 Re3 Nxe3+ fxe3 Qd1+ Kf2 Qd2+ Kf3 Qxb4 Rf1 Rf8 Nh7 Qxc5 Nxf8 Kxf8 Ke2 Ke7 Rc1 Qxc1,black
0LLY0YFA,matei_popescu1510,1840,brianmorris,1820,D00,d4 d5 e3 e6 Bd3 Nf6 Nd2 Bd6 f4 O-O Ngf3 Nbd7 O-O c5 c3 cxd4 cxd4 b6 Ne5 Bb7 Rf3 Ne4 Rh3 f5 Qh5 Ndf6 Qh4 h6 Ndf3 Bxe5 Nxe5 Nd7 Qh5 Ndf6 Qg6 Qe8 Rxh6 Qxg6 Rxg6 Kh7 Bxe4 dxe4 Bd2 Rae8 Rc1 Rc8 h3 Rxc1+ Bxc1 Rc8 Bd2 Rc2 Bc3 Bd5 a3 a5 Kf1 b5 Bxa5 Rxb2 Bb4 Nd7 Rg5 Nxe5 dxe5 Rb1+ Kf2 Rb2+ Kg3 g6 Kh4 Bc4 g4 fxg4 hxg4 Rh2+ Kg3 Rc2 f5 exf5 gxf5 Bf1 Rxg6 Rg2+ Kf4 Rxg6 fxg6+ Kxg6 Kxe4 Bc4 Bd6 Kf7 Kd4 Ke6 Kc5 Bf1 Kb6 Be2 Bb8 Bf1 Kc5 Be2 Kb4 Bf1 Bd6 Be2 e4 Bf1 Kc5 Be2 Bc7 Bf1 Kd4 Be2 Ba5 Bf1 Bb4 Be2,draw
0Lr6w9Th,matei_popescu1510,1616,osu_engineer,1582,D02,d4 d5 Nf3 Nc6 g3 Bg4 Bg2 Qb8 O-O e6 c4 dxc4 Qa4 Bd6 Qxc4 Nge7 Nc3 a6 e4 b5 Qd3 Bb4 a3 Ba5 h3 Bh5 g4 Bg6 Nh4 Bb6 Nxg6 hxg6 Be3 Qa7 Rad1 Rd8 d5 Ne5 Bxb6 Qxb6 Qd4 Qxd4 Rxd4 O-O Rfd1 Rc8 f4 Nc4 Rb1,white
0MTxEojs,matei_popescu1510,1783,thadaemon,1817,B24,e4 c5 Nc3 Nc6 g3 e5 Bg2 Nf6 d3 Be7 Nge2 O-O O-O Qb6 Bg5 h6 Bxf6 Bxf6 Rb1 Qa6 Nd5 Bd8 a3 d6 f4 Bg4 h3 Bxe2 Qxe2 Nd4 Qd1 exf4 Rxf4 Qa4 Qh5 Qxc2 Rbf1 Ne2+ Kh2 Nxf4 Rxf4 Bg5 Rg4 f5 exf5 Rxf5 Ne7+ Kh8 Nxf5 Rf8 Rxg5 Rxf5 Rxf5 Qxd3,white
0n7w6Cel,matei_popescu1510,1961,boi4o21,1972,D00,d4 d5 e3 c5 c3 Nc6 dxc5 e5 b4 Nf6 Bb2 Be7 h3 O-O Nf3 Be6 Bb5 Qc7 O-O Rad8 Bxc6 bxc6 Nbd2 d4 cxd4 exd4 Nxd4 Bd5 N2f3 Ne4 a3 Bf6 Qe2 Rfe8 Rfd1 h6 Nd2 Re7 Nxe4 Rxe4 Nf3 Bxb2 Qxb2 Rde8 Nd4 Qe5 Qd2 Qg5 Nf3 Qg6 Ne5 R8xe5 f3 Rxe3 Re1 Rxe1+ Rxe1 Rxe1+ Qxe1 Bxf3 Qe8+ Kh7,black
0njCrN2l,merkolius,1740,matei_popescu1510,1739,D31,d4 d5 c4 c6 Nc3 e6 Nf3 dxc4 e4 b5 d5 Nf6 dxc6 Qxd1+ Kxd1 a6 e5 Ng4 c7 Nxf2+ Ke2 Nxh1 Ne4 Nc6 Nd6+ Bxd6 exd6 Kd7 Bf4 Re8 Rd1 e5 Be3 Re6 Bc5 Nd4+ Nxd4 exd4+ Kf3 Bb7+ Kg4,black
0NQBBVGE,matei_popescu1510,1706,purerandomness,1651,A45,d4 Nf6 Bg5 e6 e3 Be7 Bd3 O-O f4 Nc6 c3 b6 Nf3 a5 O-O Bb7 Nbd2 Na7 Bxf6 Bxf6 e4 Nc8 e5 Be7 Qe1 d6 Qg3 dxe5 fxe5 f6 exf6 Bxf6 Rae1 e5 Nxe5 Bxe5 Rxf8+ Kxf8 Rxe5 Ne7 Qf4+ Kg8 Qh4 Ng6 Qxd8+ Rxd8 Bxg6 hxg6 Re7 Rc8 Nc4 Bd5 b3 b5 Ne5 Kh7 Rd7 c6 Nd3 a4 Nc5 axb3 axb3 Re8 h3 Re1+ Kh2 Re2 Nd3 Rxg2+ Kh1 Rd2+,black
0OLGFtM1,matei_popescu1510,1686,akavelli,1665,D00,d4 d5 e3 e6 Bd3 c5 c3 Nc6 f4 cxd4 exd4 Nf6 Nf3 Bd6 Ne5 O-O O-O Nd7 Rf3 f6 Nxd7 Bxd7 Rh3 f5 Qh5 h6 Be3 Be8 Qe2 Bg6 Nd2 Kh7 Nf3 Be7 Bf2 Bf7 Bh4 Rg8 Bxe7 Nxe7 Ne5 Qe8 Rf1 Ng6 Re3 Nxe5 Rxe5 g5 Bxf5+ Kh8 Bxe6 Bxe6 Rxe6 Qh5 Qxh5,white
